Utterance,Classification,Questions
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,What kind of support can we expect if an emergency arises in one of these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Is there a way to track our progress as we move from room to room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you clarify the path and any specific actions required in each room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,What are the safety measures in place for each room we pass?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Can we expect any updates or changes to the exit plan as we proceed?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,"How are the rooms connected, and what is the distance between them?"
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Are there specific reasons for the order of the rooms we are visiting?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What should we do if we encounter a problem while transitioning between rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Will there be guides or signs within each room to direct us to the next area?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How frequently will we receive updates on our progress towards the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Could you explain why certain rooms are skipped in the sequence?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there alternative routes if the planned path to the exit is blocked?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What are the safety protocols for each room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How will we know when we have reached the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there rest areas available in any of these rooms if needed?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you provide a detailed map of our route through the rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,What measures are in place if an emergency occurs during our movement?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Will we have any communication devices to use in case of separation?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Is there a specific reason we are taking this route to the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How are emergencies handled during this procedure?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you clarify the sequence of rooms we are passing through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,What is the logic behind skipping certain rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How do we proceed if we encounter a blocked path?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there designated assembly points within these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How will we know when to move from one room to the next?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you provide a summary of what each room contains?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there first aid kits available in these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What precautions are in place for a fire or other emergency?
